Adapter Name,Banner,Video,Native,Audio,File Path
orbidder,Yes,Yes,Yes,No,modules/orbidderBidAdapter.js
orbitsoft,Yes,No,No,No,modules/orbitsoftBidAdapter.js
otm,Yes,No,No,No,modules/otmBidAdapter.js
outbrain,Yes,Yes,Yes,No,modules/outbrainBidAdapter.js
ownadx,Yes,No,No,No,modules/ownadxBidAdapter.js
ozone,Yes,Yes,Yes,No,modules/ozoneBidAdapter.js
padsquad,Yes,No,No,No,modules/padsquadBidAdapter.js
pangle,Yes,Yes,No,No,modules/pangleBidAdapter.js
performax,Yes,No,No,No,modules/performaxBidAdapter.js
pgamssp,Yes,Yes,Yes,No,modules/pgamsspBidAdapter.js
pilotx,Yes,Yes,No,No,modules/pilotxBidAdapter.js
pinkLion,Yes,Yes,Yes,No,modules/pinkLionBidAdapter.js
pixfuture,Yes,Yes,No,No,modules/pixfutureBidAdapter.js
playdigo,Yes,Yes,Yes,No,modules/playdigoBidAdapter.js
preciso,Yes,No,Yes,No,modules/precisoBidAdapter.js
prisma,Yes,Yes,No,No,modules/prismaBidAdapter.js
programmaticX,Yes,Yes,No,No,modules/programmaticXBidAdapter.js
programmatica,Yes,Yes,No,No,modules/programmaticaBidAdapter.js
proxistore,Yes,No,No,No,modules/proxistoreBidAdapter.js
pstudio,Yes,Yes,No,No,modules/pstudioBidAdapter.js
pubCircle,Yes,Yes,Yes,No,modules/pubCircleBidAdapter.js
pubgenius,Yes,Yes,No,No,modules/pubgeniusBidAdapter.js
publir,Yes,Yes,No,No,modules/publirBidAdapter.js
pubmatic,Yes,Yes,Yes,No,modules/pubmaticBidAdapter.js
pubrise,Yes,Yes,Yes,No,modules/pubriseBidAdapter.js
pubx,Yes,No,No,No,modules/pubxBidAdapter.js
pulsepoint,Yes,Yes,Yes,No,modules/pulsepointBidAdapter.js
pwbid,Yes,Yes,Yes,No,modules/pwbidBidAdapter.js
pxyz,Yes,No,No,No,modules/pxyzBidAdapter.js
qt,Yes,Yes,Yes,No,modules/qtBidAdapter.js
quantcast,Yes,Yes,No,No,modules/quantcastBidAdapter.js
qwarry,No,Yes,No,No,modules/qwarryBidAdapter.js
r2b2,Yes,Yes,Yes,No,modules/r2b2BidAdapter.js
readpeak,Yes,No,Yes,No,modules/readpeakBidAdapter.js
rediads,Yes,Yes,Yes,No,modules/rediadsBidAdapter.js
redtram,Yes,No,No,No,modules/redtramBidAdapter.js
relaido,Yes,Yes,No,No,modules/relaidoBidAdapter.js
relay,Yes,Yes,Yes,No,modules/relayBidAdapter.js
relevantdigital,Yes,Yes,Yes,No,modules/relevantdigitalBidAdapter.js
relevatehealth,Yes,No,No,No,modules/relevatehealthBidAdapter.js
resetdigital,Yes,Yes,No,No,modules/resetdigitalBidAdapter.js
responsiveAds,Yes,No,No,No,modules/responsiveAdsBidAdapter.js
retailspot,Yes,Yes,No,No,modules/retailspotBidAdapter.js
revcontent,Yes,No,Yes,No,modules/revcontentBidAdapter.js
rhythmone,Yes,Yes,No,No,modules/rhythmoneBidAdapter.js
richaudience,Yes,Yes,No,No,modules/richaudienceBidAdapter.js
ringieraxelspringer,Yes,No,Yes,No,modules/ringieraxelspringerBidAdapter.js
rise,No,No,No,No,modules/riseBidAdapter.js
risemediatech,Yes,Yes,No,No,modules/risemediatechBidAdapter.js
rixengine,Yes,No,No,No,modules/rixengineBidAdapter.js
robustApps,Yes,Yes,No,No,modules/robustAppsBidAdapter.js
robusta,Yes,Yes,No,No,modules/robustaBidAdapter.js
rocketlab,Yes,Yes,Yes,No,modules/rocketlabBidAdapter.js
rtbhouse,Yes,No,Yes,No,modules/rtbhouseBidAdapter.js
rtbsape,Yes,Yes,No,No,modules/rtbsapeBidAdapter.js
rubicon,Yes,Yes,Yes,No,modules/rubiconBidAdapter.js
rumble,Yes,Yes,No,No,modules/rumbleBidAdapter.js
scattered,Yes,No,No,No,modules/scatteredBidAdapter.js
screencore,Yes,Yes,Yes,No,modules/screencoreBidAdapter.js
